"","percepcion_1_a","percepcion_1_b","percepcion_1_c","percepcion_2","percepcion_3","percepcion_5","percepcion_6","percepcion_38","percepcion_4","eval_gob_1","iden_pol_2","eval_act_pol_1_fh","eval_act_pol_1_p","eval_act_pol_1_ao","eval_act_pol_1_gp","eval_act_pol_1_ca","eval_act_pol_1_el","eval_act_pol_1_gm","eval_act_pol_1_gt","eval_act_pol_1_fo","eval_act_pol_1_go","eval_act_pol_1_gf","eval_act_pol_1_gq","eval_act_pol_1_fe","eval_act_pol_1_ae","eval_act_pol_1_gs","eval_act_pol_1_gu","eval_act_pol_1_em","eval_act_pol_1_en","eval_act_pol_1_dv","eval_act_pol_1_er","confianza_6_a","confianza_6_c","confianza_6_b","confianza_6_j","confianza_6_d","confianza_6_e","confianza_6_f","confianza_6_n","confianza_6_x","confianza_6_g","confianza_6_h","confianza_6_i","confianza_6_k","confianza_6_s","confianza_6_o","confianza_6_p","confianza_6_r","confianza_6_m","confianza_6_ab","pobreza_62","democracia_19","pp_congreso_61_b","rol_gobierno_5","democracia_21","democracia_21_a_1","democracia_21_a_2","democracia_21_b_1","democracia_21_b_2","democracia_21_c_1","democracia_21_c_2","democracia_20","democracia_35_a","democracia_35_b","democracia_35_c","democracia_35_d","democracia_35_e","democracia_35_f","democracia_35_g","democracia_35_h","democracia_35_i","democracia_35_j","democracia_35_k","ciudadania_28_a","ciudadania_28_c","pobreza_106_a","rol_gobierno_14_c","confianza_15_a","confianza_15_b","confianza_15_c","confianza_15_d","confianza_15_e","confianza_15_f","confianza_15_g","constitucion_30","constitucion_31","constitucion_3","constitucion_32_a","constitucion_32_b","constitucion_32_c","constitucion_33_a","constitucion_33_b","seguridad_37_a","seguridad_37_b","seguridad_37_c","seguridad_38_a","seguridad_38_b","democracia_36","dictadura_34_a","dictadura_34_b","salud_83","salud_84","sexo","edad","info_enc_61","esc_nivel_1","info_enc_56","info_enc_57","info_hogar_28_c","bienestar_13_a","bienestar_13_g","bienestar_13_c","bienestar_13_i","bienestar_13_h","bienestar_13_j","bienestar_13_k","bienestar_21","religion_82","religion_2","iden_pol_3","iden_pol_3_a","elec_part_37","elec_pres_144_a","elec_pres_144_b","constitucion_19","constitucion_20_a","constitucion_20_b","constitucion_34","constitucion_35_a","constitucion_35_b","iden_nacional_16","religion_14","info_enc_58","info_enc_30","info_enc_52_b","info_enc_65","gse","region","zona_u_r","pond","nom_region","encuesta","encuesta_a","encuesta_m","estrato","secu","id_bu_encuesta","id_bu"
"836",17,9,11,1,2,2,3,5,3,2,5,3,4,6,6,6,2,6,6,6,6,6,6,6,4,6,6,6,6,3,6,4,2,1,4,2,2,3,2,3,88,2,3,3,3,3,88,2,1,2,10,10,88,1,3,NA,NA,NA,NA,1,NA,4,88,10,5,10,88,10,10,10,0,10,10,1,2,3,5,88,3,1,1,5,1,1,5,5,2,4,4,5,88,NA,3,4,6,5,1,7,1,NA,3,2,2,38,2,4,1,1,NA,8,10,10,10,10,10,10,1,2,1,88,88,1,1,NA,1,1,NA,1,7,NA,5,1,2,NA,1,NA,4,8,1,0.443359,8,89,2023,7,12,89096,836,"836-89"
"837",3,14,17,2,3,2,3,5,2,1,5,5,2,2,2,4,3,2,2,2,2,3,2,2,4,2,1,2,2,2,2,4,2,2,3,4,3,4,3,3,1,2,2,4,3,4,4,2,2,3,8,8,1,1,1,1,1,NA,NA,NA,NA,4,0,10,10,10,10,10,10,10,10,10,10,1,2,2,2,3,3,3,1,1,5,1,4,1,3,4,4,4,2,6,1,3,4,3,2,8,1,1,3,2,1,84,2,4,3,1,NA,6,10,0,8,10,10,10,3,2,2,15,15,1,1,NA,1,1,NA,1,88,NA,1,1,2,NA,1,NA,3,13,1,0.80514043,13,89,2023,7,20,89233,837,"837-89"
"838",1,3,10,2,2,3,3,4,2,9,99,4,2,6,6,4,3,6,6,6,6,6,6,6,6,4,4,3,6,3,6,3,3,2,3,4,3,4,3,3,3,3,3,4,3,3,88,3,3,3,88,6,1,2,3,NA,NA,NA,NA,1,NA,3,5,6,7,6,6,6,7,4,6,0,7,2,3,4,4,4,2,3,3,3,3,3,3,5,1,3,3,2,1,2,1,6,11,3,2,8,99,NA,3,2,2,70,2,6,1,1,NA,6,10,10,10,10,10,10,3,1,7,15,2,2,NA,4,1,9,NA,1,5,NA,1,3,2,NA,1,NA,3,13,1,0.33076438,13,89,2023,7,20,89233,838,"838-89"
"839",3,10,13,2,3,3,3,5,3,2,9,1,5,4,6,2,2,3,6,3,6,6,6,3,5,4,5,3,3,5,6,3,1,1,3,3,1,3,1,3,3,1,3,4,1,3,3,1,1,4,9,9,1,2,1,1,NA,NA,NA,NA,NA,3,6,10,10,10,5,8,9,5,88,0,5,1,1,3,2,2,2,1,1,1,1,2,5,5,3,3,3,3,6,88,7,1,4,1,1,10,1,NA,3,2,2,34,2,4,3,1,NA,9,10,10,10,10,10,10,4,2,6,18,NA,1,2,NA,1,2,NA,1,3,NA,3,2,2,NA,1,NA,3,9,1,0.77818467,9,89,2023,7,14,89112,839,"839-89"
"840",14,26,9,2,3,4,3,5,3,2,4,3,3,3,6,3,2,3,6,3,3,3,3,3,5,3,5,3,3,4,3,3,1,3,4,4,2,3,1,1,3,1,3,3,2,2,2,1,3,3,6,8,1,1,2,NA,NA,1,1,NA,NA,3,6,10,10,8,2,10,10,10,6,5,8,1,1,3,2,2,2,3,1,2,3,2,2,3,1,2,2,3,6,2,1,4,7,2,2,6,99,NA,3,2,1,37,1,8,1,2,4,6,10,7,10,10,10,10,1,1,6,15,18,1,2,NA,1,2,NA,1,5,NA,2,1,2,NA,1,NA,2,13,1,2.71606892,13,89,2023,7,20,89152,840,"840-89"
"841",17,14,16,1,3,2,3,3,2,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,4,3,4,3,3,3,3,3,3,3,3,2,3,5,10,1,1,1,1,1,NA,NA,NA,NA,3,3,4,4,3,5,6,3,4,3,1,7,2,2,3,3,3,2,2,3,3,4,3,4,4,3,3,3,3,3,2,2,1,11,4,1,5,1,NA,1,1,2,29,2,4,3,1,NA,10,5,10,5,10,0,0,2,9,8,15,1,1,2,NA,1,2,NA,1,3,NA,2,2,2,NA,1,NA,2,13,1,1.02145964,13,89,2023,7,20,89152,841,"841-89"
"842",1,3,10,1,3,2,4,5,3,2,88,1,2,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,4,6,4,3,3,4,3,3,4,3,4,4,3,4,4,4,3,3,3,3,4,10,10,2,2,3,NA,NA,NA,NA,1,NA,3,88,10,88,10,0,88,10,0,10,10,10,2,2,2,2,1,1,1,2,3,3,3,88,3,1,2,1,2,2,3,2,3,7,3,2,10,1,NA,3,2,2,52,2,2,1,2,4,10,10,10,10,10,10,10,3,2,7,18,NA,1,2,NA,1,8,NA,1,3,NA,1,2,2,NA,1,NA,3,2,1,0.53820621,2,89,2023,7,2,89009,842,"842-89"
"843",1,3,5,2,1,4,2,4,2,2,6,3,3,6,6,4,3,4,6,3,3,6,3,3,5,6,4,4,3,3,2,3,2,3,4,3,3,3,2,4,3,2,3,3,2,2,4,1,2,3,6,6,1,1,1,1,NA,NA,NA,NA,NA,4,7,9,10,7,8,9,8,10,9,7,10,2,3,4,3,2,2,2,2,1,2,2,2,3,2,3,3,3,3,8,1,2,11,3,2,5,1,1,3,2,2,31,2,8,1,2,8,8,10,9,10,10,10,10,1,10,7,2,NA,2,NA,1,1,1,NA,1,5,NA,7,3,2,NA,1,NA,1,13,1,1.19055891,13,89,2023,7,20,89169,843,"843-89"
"844",11,13,5,2,3,2,3,4,3,2,6,2,3,6,6,3,2,6,6,6,6,6,6,3,3,2,2,2,2,3,2,4,3,4,4,3,3,4,2,3,3,3,3,3,3,3,3,3,2,3,8,8,1,2,1,1,NA,NA,NA,NA,NA,3,7,10,10,7,10,10,10,10,10,8,10,4,4,4,2,2,2,2,4,2,4,2,4,3,2,3,3,3,8,7,1,6,11,5,2,7,1,1,3,2,2,34,2,8,1,1,NA,10,7,8,6,10,7,7,3,9,8,15,15,1,2,NA,1,2,NA,1,1,NA,2,2,1,5,1,NA,1,13,1,0.89291918,13,89,2023,7,20,89169,844,"844-89"
"845",7,11,1,1,2,3,3,5,3,2,99,1,4,6,6,8,1,4,6,6,6,6,6,8,4,6,6,6,8,1,4,3,2,4,4,3,3,3,3,2,88,3,4,4,3,3,3,2,3,2,10,9,88,2,3,NA,NA,NA,NA,1,NA,5,5,4,8,88,3,9,10,7,88,1,9,1,1,3,4,88,4,4,3,3,4,2,5,5,3,5,5,5,88,NA,3,9,10,5,1,10,99,NA,3,2,2,30,2,6,1,2,4,10,10,10,10,10,10,10,2,1,8,15,15,2,NA,8,2,NA,6,2,NA,8,2,2,2,NA,1,NA,3,8,1,1.1241821,8,89,2023,7,12,89090,845,"845-89"
"846",1,7,14,2,3,4,3,3,3,3,3,3,3,3,6,6,1,6,6,6,6,6,6,6,3,6,6,6,6,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,9,1,2,1,1,NA,NA,NA,NA,NA,4,1,0,10,3,0,0,1,0,0,10,1,5,1,4,4,4,4,4,4,4,4,4,3,4,2,5,5,5,8,4,1,6,2,5,1,9,99,NA,3,1,2,26,2,8,1,1,NA,5,10,10,10,10,10,10,1,9,8,17,NA,1,1,NA,1,1,NA,1,1,NA,1,3,1,2,1,NA,4,2,1,1.80568299,2,89,2023,7,2,89009,846,"846-89"
